trade_id,symbol,direction,entry_time,entry_price,stop_loss,take_profit,exit_time,exit_price,exit_reason,live_result_r,live_profit_usd,backtest_result_r,backtest_profit_usd,difference_usd
100,CAD_JPY,bullish,2023-03-28 21:00:00+00:00,96.178754,93.5258006164674,97.77052603011956,2023-03-29 15:00:00+00:00,97.77052603011956,tp,0.5999999999999979,206.9999999999992,1.47,572.41,-365.41000000000076
92,GBP_JPY,bullish,2023-03-27 21:00:00+00:00,161.538,157.44932245196756,163.99120652881948,2023-03-30 09:00:00+00:00,163.99120652881948,tp,0.5999999999999986,206.99999999999952,1.48,576.29,-369.2900000000004
89,GBP_JPY,bullish,2023-03-26 21:00:00+00:00,161.683,157.41868571750354,164.24158856949788,2023-03-30 12:00:00+00:00,164.24158856949788,tp,0.6000000000000026,207.00000000000105,1.48,576.58,-369.579999999999
94,AUD_JPY,bearish,2023-03-28 21:00:00+00:00,88.201712,89.68339266792215,87.31270359924672,2023-03-31 01:00:00+00:00,89.68339266792215,sl,-1.0,-417.00000000000006,-1.05,-409.74,-7.260000000000048
103,GBP_CAD,bearish,2023-03-30 21:00:00+00:00,1.67899236,1.6923041828163905,1.6710052663101655,2023-03-31 16:00:00+00:00,1.6710052663101655,tp,0.60000000000002,207.00000000000782,1.44,561.47,-354.4699999999922
109,AUD_CAD,bearish,2023-04-02 21:00:00+00:00,0.91250392,0.9216229579752526,0.9070324972148484,2023-04-02 21:00:00+00:00,0.9070324972148484,tp,0.6000000000000122,207.00000000000477,1.41,551.36,-344.35999999999524
110,AUD_CAD,bearish,2023-04-02 21:00:00+00:00,0.91191,0.9218631038341631,0.9059381376995022,2023-04-02 21:00:00+00:00,0.9059381376995022,tp,0.5999999999999955,206.9999999999983,1.42,554.05,-347.05000000000166
106,GBP_AUD,bullish,2023-04-02 21:00:00+00:00,1.82940102,1.81106631126201,1.840401845242794,2023-04-02 21:00:00+00:00,1.840401845242794,tp,0.6000000000000024,207.00000000000097,1.46,567.49,-360.48999999999904
105,EUR_AUD,bullish,2023-04-02 21:00:00+00:00,1.60416252,1.5845106668328108,1.6159536319003136,2023-04-02 21:00:00+00:00,1.6159536319003136,tp,0.6000000000000023,207.00000000000094,1.46,568.56,-361.55999999999904
108,AUD_CAD,bullish,2023-04-02 21:00:00+00:00,0.91213,0.9040396589224968,0.916984204646502,2023-04-02 21:00:00+00:00,0.9040396589224968,sl,-1.0,-417.00000000000006,-1.09,-426.15,9.14999999999992
72,AUD_CAD,bullish,2023-03-16 21:00:00+00:00,0.91739846,0.9008421264402358,0.9273322601358586,2023-04-02 23:00:00+00:00,0.9008421264402358,sl,-1.0,-417.00000000000006,-1.05,-407.67,-9.330000000000041
107,GBP_USD,bullish,2023-04-02 21:00:00+00:00,1.22806174,1.2159922895060316,1.2353034102963811,2023-04-03 10:00:00+00:00,1.2353034102963811,tp,0.6000000000000036,207.00000000000145,2.14,834.16,-627.1599999999985
91,ETH_USD,bearish,2023-03-27 00:00:00+00:00,1777.8444150390626,1886.193442882171,1712.8349983331975,2023-04-04 00:00:00+00:00,,backtest_fallback,-0.96,-373.11,-0.96,-373.11,0.0
87,NZD_USD,bearish,2023-03-23 21:00:00+00:00,0.6199438199999999,0.6314838796525518,0.6130197842084688,2023-04-04 14:00:00+00:00,0.6314838796525518,sl,-1.0,-417.00000000000006,-1.06,-415.35,-1.650000000000034
112,EUR_NZD,bullish,2023-04-04 21:00:00+00:00,1.72014562,1.700878439014901,1.7317059285910594,2023-04-04 21:00:00+00:00,1.7317059285910594,tp,0.5999999999999976,206.99999999999912,1.46,568.26,-361.2600000000009
113,AUD_JPY,bullish,2023-04-04 21:00:00+00:00,87.701186,86.26065919178144,88.56550208493114,2023-04-04 21:00:00+00:00,88.56550208493114,tp,0.5999999999999961,206.99999999999852,2.15,838.08,-631.0800000000015
85,NZD_USD,bearish,2023-03-22 21:00:00+00:00,0.62204,0.6316230288840881,0.6162901826695473,2023-04-04 23:00:00+00:00,0.6316230288840881,sl,-1.0,-417.00000000000006,-1.08,-420.52,3.519999999999925
88,NZD_USD,bearish,2023-03-23 21:00:00+00:00,0.61942,0.6315200311059409,0.6121599813364355,2023-04-04 23:00:00+00:00,0.6315200311059409,sl,-1.0,-417.00000000000006,-1.06,-414.17,-2.830000000000041
