date,start_balance,daily_dd_base,min_equity_allowed,lowest_equity,max_daily_dd_pct,protective_close
2024-06-01,144000.93697128928,146426.19225888504,139104.8826459408,146104.67871096253,0.2195737954819381,False
2024-06-02,144000.93697128928,146426.19225888504,139104.8826459408,145045.79118440842,0.9427282463481977,False
2024-06-03,142695.91697128926,145354.90364529533,138087.15846303056,143868.8808603484,1.0223410065154832,False
2024-06-04,141281.59697128925,146986.1164845136,139636.8106602879,143455.27183667765,2.4021620084152295,False
2024-06-05,143444.05697128925,146054.68664156835,138751.95230948992,145283.68572203434,0.5278850937704704,False
2024-06-06,144810.30697128925,149314.56397178888,141848.83577319945,148077.83805941776,0.8282687766511445,False
2024-06-07,146240.50697128926,151629.18537143216,144047.72610286056,144326.06254292192,4.8164361040524275,True
2024-06-08,148166.97648266592,148166.97648266592,140758.6276585326,148166.97648266592,0.0,False
2024-06-09,148166.97648266592,148166.97648266592,140758.6276585326,148166.97648266592,0.0,False
2024-06-10,148166.97648266592,148439.4723504347,141017.49873291294,147778.3817631034,0.44536037272525797,False
2024-06-11,148166.97648266592,148191.2467659195,140781.68442762352,147152.61529706,0.7008723467318597,False
2024-06-12,148166.97648266592,148166.97648266592,140758.6276585326,146779.6053004806,0.9363565452438348,False
2024-06-13,147310.2164826659,147963.55144064923,140565.37386861676,145913.73275205665,1.3853538041189832,False
2024-06-14,145648.9964826659,146727.90354460917,139391.5083673787,144628.41867248545,1.430869535654084,False
2024-06-15,145258.00648266592,145551.8721450408,138274.27853778875,145324.5799054517,0.15615892550155497,False
2024-06-16,145258.00648266592,145551.8721450408,138274.27853778875,145324.5799054517,0.15615892550155497,False
2024-06-17,145203.9264826659,145561.60363148386,138283.52344990967,144268.68117560708,0.8882304286438387,False
2024-06-18,145758.84648266592,146119.61514057455,138813.6343835458,144808.40135313,0.8973564474441658,False
2024-06-19,145325.9564826659,147409.75353228286,140039.26585566872,147009.72709065594,0.2713704025964021,False
2024-06-20,145421.7664826659,148471.36652893756,141047.79820249067,145478.8688170409,2.015538606437906,False
2024-06-21,144717.11648266594,145979.7650444636,138680.77679224042,144207.92741824736,1.2137556363901225,False
2024-06-22,144717.11648266594,144717.11648266594,137481.26065853264,144370.74376197963,0.23934468092293668,False
2024-06-23,144717.11648266594,144717.11648266594,137481.26065853264,144192.7718251907,0.36232387033364544,False
2024-06-24,144265.63648266593,144615.92876072365,137385.13232268745,144046.9745823026,0.3934242813337879,False
2024-06-25,144396.93648266591,144925.07077057863,137678.81723204968,143383.5388052798,1.0636751509606908,False
2024-06-26,143517.0164826659,143627.2988733239,136445.93392965768,142732.00545376286,0.6233448840047168,False
2024-06-27,143669.0264826659,144212.11522823756,137001.50946682566,143585.45798599158,0.4345385554148429,False
2024-06-28,142819.7164826659,144175.87282534633,136967.07918407902,143291.18548780083,0.6136167724936943,False
2024-06-29,142819.7164826659,144246.7732182296,137034.4345573181,144057.29713114593,0.13135551170840065,False
2024-06-30,142819.7164826659,144246.7732182296,137034.4345573181,143622.094848382,0.4330622834124143,False
2024-07-01,142489.12648266592,143974.41199738934,136775.69139751987,143468.84466016188,0.35115082618752336,False
2024-07-02,142096.19648266592,144849.64130466545,137607.15923943216,143934.46116098692,0.6318138833037309,False
2024-07-03,142822.79648266593,144548.38546554768,137320.96619227028,144216.15655074094,0.22983924291974928,False
2024-07-04,144572.41648266595,147872.6813336473,140479.04726696495,146925.94879940542,0.640234914051342,False
2024-07-05,144180.90648266595,148327.3672444079,140910.9988821875,147062.18227448134,0.8529679946667238,False
2024-07-06,144180.90648266595,151995.74423753927,144395.9570256623,151995.74423753927,0.0,False
2024-07-07,146100.17648266593,152446.13290073714,144823.8262557003,151637.98535198122,0.5301200715154475,False
2024-07-08,146228.67648266593,151829.71135296207,144238.22578531396,150460.930620153,0.9015236350064808,False
2024-07-09,151433.35648266593,152420.37799477787,144799.35909503896,151799.89932423527,0.4070838025108772,False
2024-07-10,151433.35648266593,153393.95133926725,145724.25377230387,150383.729313332,1.9624124678015653,False
2024-07-11,151003.67648266593,156389.7271884656,148570.2408290423,149650.22853563557,4.309425416867847,True
2024-07-12,152300.19046883544,152419.89375597998,144798.89906818097,152251.46865932166,0.11050073091375086,False
2024-07-13,152300.19046883544,152379.82601595693,144760.8347151591,152356.91008043496,0.01503869384886602,False
2024-07-14,152300.19046883544,152379.82601595693,144760.8347151591,152209.63466723333,0.11168889817854198,False
2024-07-15,152300.19046883544,152329.97190983317,144713.4733143415,151729.61296230496,0.39411741497830066,False
2024-07-16,151909.35046883544,151986.2254467277,144386.9141743913,151862.1805060322,0.08161590981742914,False
2024-07-17,151909.35046883544,152512.34228520523,144886.72517094496,151830.88170541506,0.44682323383101136,False
2024-07-18,151519.23046883545,152003.51482094324,144403.33907989608,151270.1764107408,0.48244832434717005,False
2024-07-19,151640.08046883543,151640.08046883543,144058.07644539364,151142.9873185444,0.32781118867396003,False
2024-07-20,151249.54046883542,151474.9338453123,143901.1871530467,151438.09314152205,0.02432132027063487,False
2024-07-21,151832.39046883542,151832.39046883542,144240.77094539365,150721.86990654827,0.7314121570885098,False
2024-07-22,150979.11046883542,150979.2216229764,143430.26054182756,149316.7245554021,1.1011429584170622,False
2024-07-23,149730.1504688354,149730.1504688354,142243.64294539363,148417.5106126348,0.8766703647130962,False
2024-07-24,147603.49046883537,148494.93744361945,141070.19057143846,147871.1364948796,0.4200823000963803,False
2024-07-25,146798.22046883535,148201.68348521765,140791.59931095678,148201.68348521765,0.0,False
2024-07-26,148830.28046883538,149372.40718872243,141903.7868292863,149290.8606955641,0.054592742189190094,False
2024-07-27,149413.56046883538,149520.776119166,142044.73731320768,149508.37389975897,0.008294646221701785,False
2024-07-28,149413.56046883538,149520.776119166,142044.73731320768,149508.37389975897,0.008294646221701785,False
2024-07-29,149413.56046883538,149980.84606160794,142481.80375852753,149074.5875079588,0.6042495274875884,False
2024-07-30,149413.56046883538,150515.1230440524,142989.36689184976,149424.58929067076,0.7245343400227364,False
2024-07-31,148539.14046883537,149892.9868674384,142398.33752406648,147958.30506961275,1.290708683746911,False
2024-08-01,148116.05046883537,148995.88754368963,141546.09316650513,145635.210959208,2.255549894621218,False
2024-08-02,146466.70046883536,146466.70046883536,139143.36544539357,145776.08305875142,0.4715183778109951,False
2024-08-03,146658.26046883536,148450.56748939925,141028.0391149293,147851.36520575083,0.4036375837304989,False
2024-08-04,146658.26046883536,148603.3585429818,141173.1906158327,148012.67042840947,0.39749311210989,False
2024-08-05,146658.26046883536,149056.81889368736,141603.977949003,149056.81889368736,0.0,False
2024-08-06,148672.3704688354,151799.84966011444,144209.8571771087,149957.58195536843,1.2136162907084054,False
2024-08-07,149255.4504688354,151377.50453929105,143808.6293123265,149624.86472886894,1.1577940961282036,False
2024-08-08,149255.4504688354,151498.07255669092,143923.16892885638,150004.43457797426,0.9859121990860599,False
